----------------------------------------------
| ThalamusMaster 2021/2/5 - 21: 6 - AGENT-M |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.302550089971	-43.0
MUTUAL_GAZE	player2_player1	0.0823876935104	-41.0
MUTUAL_GAZE	player0_player1	0.20197531183	-16.0
JA_mainscreen	player2_player0	0.55135561693	45.0
JA_mainscreen	player2_player1	0.555983727714	47.0
JA_mainscreen	player0_player1	0.567441770556	-1.0
JA_player1	player2_player0	0.128704863025	-25.0
JA_player0	player2_player1	0.142681729509	48.0
JA_player2	player0_player1	0.273384964537	-21.0
